sample_id,mass_loaded_kg,grade_pct,friction_mu,visibility_m,comm_confidence,curve_radius_m,v_safe_kmh,v_stop_kmh,v_retarder_kmh,s_stop_m,h_safe_m,active_constraint,is_physically_safe
330,166973.3576491149,5.241591707261622,0.5939873930987639,43.162150600884736,0.8326804693470432,50.0,20.0,44.53642608619346,92.41087634358556,38.16215060088474,43.16215060088474,SITE_SPEED_LIMIT,True
331,157750.71717259547,1.4888805033244468,0.3253301523656401,18.75218969705967,0.9963343376272473,inf,20.0,24.602819383468468,150.0,13.752189697059674,18.752189697059674,SITE_SPEED_LIMIT,True
332,159468.45909385828,3.853758830473618,0.573139921651546,33.95143309603029,0.21720909769121055,50.0,20.0,35.73824021680817,125.99999988298863,28.9514330960303,33.9514330960303,SITE_SPEED_LIMIT,True
333,157908.17133533483,6.956181464968068,0.2739178674919681,5.144821862192541,0.3554930104413574,35.0,0.40149483185026325,0.40149483185026325,55.38442567963153,0.1448218621925403,5.14482186219254,STOPPING_DISTANCE,True
334,156195.95594009612,3.876735947503942,0.6059918647135832,23.10472061089502,0.5101097124988252,100.0,20.0,27.213098709303793,125.99999988298863,18.104720610895022,23.104720610895022,SITE_SPEED_LIMIT,True
335,165632.2451141173,5.614845879595237,0.5112206833087591,30.229704248727693,0.6764679372263622,50.0,20.0,33.79778735343114,79.67641703736038,25.229704248727693,30.229704248727693,SITE_SPEED_LIMIT,True
336,161560.31306268086,6.02145644052481,0.21442160084583708,6.031976507061891,0.636490651049154,100.0,2.7300557921140785,2.7300557921140785,69.97562418591232,1.0319765070618914,6.031976507061891,STOPPING_DISTANCE,True
337,164149.07688737535,7.8489697711146755,0.5760152376353422,36.84564206334121,0.5172690564416094,inf,20.0,37.34589256477163,46.474100084267555,31.845642063341202,36.8456420633412,SITE_SPEED_LIMIT,True
338,162733.85975336362,3.7346259614417345,0.29710112129750754,10.506954079633008,0.2358575991436871,100.0,10.56822000657843,10.56822000657843,125.99999988298863,5.506954079633008,10.506954079633008,STOPPING_DISTANCE,True
339,167400.29790043342,7.356631142391898,0.6265896659702452,49.92563801268273,0.6425651995351915,35.0,20.0,46.90825679476695,50.9720280798152,44.925638012682725,49.925638012682725,SITE_SPEED_LIMIT,True
340,158172.6898890391,6.3755326447022975,0.36238836341662456,27.327487285094875,0.6859112710498637,100.0,20.0,31.02806789338203,63.51862657036633,22.327487285094875,27.327487285094875,SITE_SPEED_LIMIT,True
341,163138.96611964473,5.718722712271865,0.36456668859677377,31.44962123879892,0.3622354416522884,50.0,20.0,33.548743624431836,76.89154249403627,26.44962123879892,31.44962123879892,SITE_SPEED_LIMIT,True
342,170443.74309852094,1.6529411097017455,0.5050335510901657,36.511338175003445,0.586479092188707,50.0,20.0,40.263625548894716,150.0,31.511338175003445,36.511338175003445,SITE_SPEED_LIMIT,True
